time,logger,level,message,exception
2012-08-14 19:39:53.6740,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.7033,Raven.Database.Server.HttpServer,Debug,Request #  23: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.7033,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.7326,Raven.Database.Server.HttpServer,Debug,Request #  24: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.7326,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.7609,Raven.Database.Server.HttpServer,Debug,Request #  25: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.7629,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.7922,Raven.Database.Server.HttpServer,Debug,Request #  26: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.7941,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.8215,Raven.Database.Server.HttpServer,Debug,Request #  27: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.8215,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.8508,Raven.Database.Server.HttpServer,Debug,Request #  28: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.8508,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
